ID,library_ID,Layer,Latitude(N),Longtitude(E),Altitude(m),AGB g/m2,BGB g/m2,SWC,DOC(mg/kg),DON(mg/kg),NH4-N(mg/kg),NO3-N(mg/kg),AP£¨mg/kg£©,pH,SOC(g/kg),TN(g/kg),TP(g/kg),C/N,MAP(mm),MAT(¡æ)
QZ121,122,topsoil,35.5239,99.515,4342,234.94,421.74,0.11,346.09,1577.8,46.97,28.78,4.46,8.33,13.19,1.1,0.34,12,365.65,-0.23
QZ122,101,subsoil,35.5239,99.515,4342,234.94,405.98,0.09,308.9,946.58,24.98,6.65,1.38,8.52,8.58,0.72,0.29,11.89,365.65,-0.23
QZ123,123,topsoil,35.8029,99.8659,3631,93.3,808.67,0.67,941.03,6796.34,131.24,20.76,12.44,6.89,104.12,6.11,0.57,17.04,322.48,-0.23
QZ124,102,subsoil,35.8029,99.8659,3631,93.3,302.06,0.59,281.92,953,69.86,33.72,6.83,6.88,74.4,6.07,0.74,12.26,322.48,-0.23
QZ125,124,topsoil,36.0723,100.3556,2992,89.32,246.81,0.13,173.05,773.59,18.35,11.33,3.23,8.5,15.83,1.67,0.44,9.49,350.46,-0.23
QZ126,103,subsoil,36.0723,100.3556,2992,89.32,190.69,0.18,144.25,439.69,19.37,42.52,3.37,8.69,13.48,1.33,0.47,10.11,350.46,-0.23
QZ127,125,topsoil,36.3557,100.2295,2992,64.96,165.41,0.15,256.69,694.32,19,40.4,3.05,9.09,14.5,1.74,0.48,8.36,350.46,-0.23
QZ128,104,subsoil,36.3557,100.2295,2992,64.96,217.19,0.14,154.16,455.79,18.26,42.72,2.89,9.13,12.21,1.45,0.34,8.42,350.46,-0.23
QZ129,126,topsoil,,,2992,83.86,128.34,0.27,136.67,441.67,13.53,10.36,4.78,8.55,31.11,3.3,0.26,9.42,379.24,-0.23
QZ130,105,subsoil,,,2992,83.86,134.58,0.23,140.72,394.85,22.82,26.38,3.75,8.83,25.23,2.71,0.61,9.32,379.24,-0.23
NM1,NM1,topsoil,43.2577,117.1816,1296,61.84,757.54,0.11,173.43,47.81,29.53,5.56,4.2,7.2,15.04,1.63,0.34,9.23,390.02,3.25
NM2,NM2,subsoil,43.2577,117.1816,1296,61.84,625.05,0.09,232.74,52.35,3.08,4.41,1.7,7.31,13.2,1.22,0.27,10.82,390.02,3.25
NM3,NM3,topsoil,43.2546,118.153,749,71,422.93,0.04,134.5,41.51,10.14,2.13,7.64,7.31,4.09,0.42,0.18,9.74,363.57,3.03
NM4,NM4,subsoil,43.2546,118.153,749,71,134.18,0.05,63.34,21.61,7.14,4.95,2.2,7.36,2.38,0.24,0.12,9.92,363.57,3.03
NM5,NM5,topsoil,43.5013,118.8538,651,43.22,669.21,0.01,74.84,22.19,7.57,2.54,2.16,7.76,5.93,0.63,0.19,9.41,375.03,3.13
NM6,NM6,subsoil,43.5013,118.8538,651,43.22,346.5,0.02,61.39,29.46,3,3.47,3.05,7.59,6.48,0.7,0.18,9.26,375.03,3.13
NM7,NM7,topsoil,43.8625,119.3701,644,22.4,305.73,0.04,84.33,36.55,20.13,5.31,7.46,7.29,15.18,1.5,0.36,10.12,375.43,3.13
NM8,NM8,subsoil,43.8625,119.3701,644,22.4,176.65,0.05,64.35,36.17,13.41,2.41,8.12,7.33,14.85,1.39,0.38,10.68,375.43,3.13
NM9,NM9,topsoil,43.6057,119.6446,474,57.52,419.53,0.01,62.53,27.72,7.1,1.06,2.87,7.66,6.49,0.69,0.21,9.41,354.06,2.95
NM10,NM10,subsoil,43.6057,119.6446,474,57.52,195.33,0.01,17.58,21.84,4.8,0.21,1.02,8.11,4.37,0.46,0.15,9.5,354.06,2.95
NM11,NM11,topsoil,43.3223,119.5825,453,11.59,625.05,0.01,104.95,34.53,12.1,3.36,2.32,8.07,5.02,0.56,0.15,8.96,354.06,2.95
NM12,NM12,subsoil,43.3223,119.5825,453,11.59,185.14,0.01,58.2,31.46,8.2,1.36,1.77,8.17,5.81,0.57,0.15,10.19,354.06,2.95
NM13,NM13,topsoil,42.534,118.8797,794,86.54,990.23,0.08,108.46,31.67,12.23,1.61,1.48,7.89,9.46,0.89,0.22,10.63,368.67,3.07
NM14,NM14,subsoil,42.534,118.8797,794,86.54,305.73,0.09,102.6,31.93,10.6,2.53,0.52,8,10.12,0.95,0.22,10.65,368.67,3.07
NM15,NM15,topsoil,42.9574,120.6744,225,31.4,266.67,0.02,37.05,28.93,10.13,3.29,1.35,8.04,4.94,0.48,0.21,10.29,346.52,2.89
NM16,NM16,subsoil,42.9574,120.6744,225,31.4,436.52,0.02,36.35,24.68,9.03,4.53,1.06,7.86,5.16,0.72,0.2,7.17,346.52,2.89
NM17,NM17,topsoil,43.0961,120.8442,210,36.02,90.02,0.02,5.04,22.13,7.97,1.49,4.16,7.78,1.98,0.19,0.1,10.42,347.79,2.9
NM18,NM18,subsoil,43.0961,120.8442,210,36.02,67.94,0.01,11.09,18.39,5.14,0.74,2.73,7.68,1.68,0.15,0.1,11.2,347.79,2.9
NM19,NM19,topsoil,44.16,122.0375,40,59.72,980.04,0.02,57.01,25.25,10.77,1.32,2.81,8.01,7.15,0.74,0.24,9.66,339.69,2.83
NM20,NM20,subsoil,44.16,122.0375,40,59.72,349.89,0.01,42.26,27.19,4.6,1.68,0.85,8.44,4.11,0.41,0.19,10.02,339.69,2.83
NM21,NM21,topsoil,44.7728,121.9169,10,140.35,134.18,0.05,53.02,27.75,16.31,2.06,3.6,7.94,5.83,0.64,0.18,9.11,370.17,3.08
NM22,NM22,subsoil,44.7728,121.9169,10,140.35,52.65,0.07,33.88,26.6,7.96,0.6,1.88,8.22,4.68,0.47,0.16,9.96,370.17,3.08
NM23,NM23,topsoil,45.1131,121.5811,100,63.46,217.41,0.04,24.52,22.89,13.16,1.15,0.73,8.07,6.15,0.59,0.15,10.42,374.47,3.12
NM24,NM24,subsoil,45.1131,121.5811,100,63.46,71.34,0.05,17.37,25.26,10.88,1.86,1.47,7.89,7,0.64,0.17,10.94,374.47,3.12
NM25,NM25,topsoil,46.3036,122.2818,210,26.26,966.45,0.09,71.88,41.09,31.28,2.03,3.26,6.57,32.35,3.31,0.51,9.77,450.68,3.76
